Pair,Timestamp,Open,High,Low,Close,Volume
PEPEUSD,2025-04-02 11:50:00,0.000007463,0.000007463,0.000007463,0.000007463,678058041.76999
MOGUSD,2025-04-02 11:50:00,0.000000411,0.000000411,0.000000411,0.000000411,0.00000
PEPEEUR,2025-04-02 11:50:00,0.000006904,0.000006904,0.000006903,0.000006903,10000000.00000
SHIBUSD,2025-04-02 11:50:00,0.00001242,0.00001242,0.00001241,0.00001241,76349961.00000
BONKUSD,2025-04-02 11:50:00,0.000012445,0.000012452,0.000012445,0.000012452,401641330.62113
MOGEUR,2025-04-02 11:50:00,0.000000375,0.000000375,0.000000375,0.000000375,0.00000
SHIBEUR,2025-04-02 11:50:00,0.00001147,0.00001147,0.00001147,0.00001147,0.00000
APENFTUSD,2025-04-02 11:50:00,0.0000004383,0.0000004385,0.0000004383,0.0000004385,2285249081.58974
SHIBUSDT,2025-04-02 11:50:00,0.00001239,0.00001239,0.00001239,0.00001239,0.00000
BONKEUR,2025-04-02 11:50:00,0.000011555,0.000011555,0.000011555,0.000011555,418116.00000
